scenario,worldview,bound,method,credence_scenario,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
Contractualism — Person-Affecting/Cluelessness and Animals Baseline_low,Contractualism — Person-Affecting/Cluelessness and Animals Baseline,low,splitCycle,0.0500,17.00,16.00,5.50,4.00,0.00,16.00,41.50,0.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline_low,Contractualism — Person-Affecting/Cluelessness and Animals Baseline,low,borda,0.0500,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline_low,Contractualism — Person-Affecting/Cluelessness and Animals Baseline,low,lexicographicMaximin,0.0500,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline,high,nashBargaining,0.2500,7.83,11.96,5.38,29.13,7.75,15.29,5.42,17.25
Contractualism — Person-Affecting/Cluelessness and Animals Baseline_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline,high,credenceWeighted,0.2500,7.83,11.96,5.38,29.13,7.75,15.29,5.42,17.25
Contractualism — Person-Affecting/Cluelessness and Animals Baseline_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline,high,mec,0.2500,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline,high,met,0.2500,17.00,1.00,5.00,0.00,6.00,16.00,42.00,13.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline,high,splitCycle,0.2500,17.00,0.13,0.13,0.00,14.97,16.00,32.80,18.97
Contractualism — Person-Affecting/Cluelessness and Animals Baseline_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline,high,borda,0.2500,17.00,19.00,6.00,0.00,0.00,16.00,41.50,0.50
Contractualism — Person-Affecting/Cluelessness and Animals Baseline_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline,high,lexicographicMaximin,0.2500,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_low,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,low,nashBargaining,0.0100,12.15,17.38,6.65,28.45,3.08,15.51,8.85,7.92
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_low,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,low,credenceWeighted,0.0100,12.15,17.38,6.65,28.45,3.08,15.51,8.85,7.92
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_low,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,low,mec,0.0100,17.00,0.00,2.00,0.00,15.00,16.00,31.00,19.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_low,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,low,met,0.0100,17.00,13.00,5.00,0.00,2.00,16.00,42.00,5.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_low,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,low,splitCycle,0.0100,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_low,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,low,borda,0.0100,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_low,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,low,lexicographicMaximin,0.0100,0.00,93.00,7.00,0.00,0.00,0.00,0.00,0.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,high,nashBargaining,0.2000,8.76,13.07,5.69,42.18,2.40,15.33,6.09,6.49
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,high,credenceWeighted,0.2000,8.76,13.07,5.69,42.18,2.40,15.33,6.09,6.49
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,high,mec,0.2000,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,high,met,0.2000,17.00,13.00,2.00,6.00,1.00,16.00,42.00,3.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,high,splitCycle,0.2000,17.00,0.00,3.50,5.00,6.83,16.00,41.67,10.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,high,borda,0.2000,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,high,lexicographicMaximin,0.2000,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
Contractualism — Default + cluelessness_low,Contractualism — Default + cluelessness,low,nashBargaining,0.0200,11.04,13.81,5.42,36.05,2.89,15.42,7.94,7.43
Contractualism — Default + cluelessness_low,Contractualism — Default + cluelessness,low,credenceWeighted,0.0200,11.04,13.81,5.42,36.05,2.89,15.42,7.94,7.43
Contractualism — Default + cluelessness_low,Contractualism — Default + cluelessness,low,mec,0.0200,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
Contractualism — Default + cluelessness_low,Contractualism — Default + cluelessness,low,met,0.0200,17.00,13.00,2.00,6.00,1.00,16.00,42.00,3.00
Contractualism — Default + cluelessness_low,Contractualism — Default + cluelessness,low,splitCycle,0.0200,17.00,13.00,6.00,6.00,0.00,16.00,42.00,0.00
Contractualism — Default + cluelessness_low,Contractualism — Default + cluelessness,low,borda,0.0200,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
Contractualism — Default + cluelessness_low,Contractualism — Default + cluelessness,low,lexicographicMaximin,0.0200,0.00,93.00,7.00,0.00,0.00,0.00,0.00,0.00
Contractualism — Default + cluelessness_high,Contractualism — Default + cluelessness,high,nashBargaining,0.1500,8.86,23.40,6.01,31.27,2.42,15.34,6.17,6.53
Contractualism — Default + cluelessness_high,Contractualism — Default + cluelessness,high,credenceWeighted,0.1500,8.86,23.40,6.01,31.27,2.42,15.34,6.17,6.53
Contractualism — Default + cluelessness_high,Contractualism — Default + cluelessness,high,mec,0.1500,17.00,0.00,2.00,0.00,15.00,16.00,31.00,19.00
Contractualism — Default + cluelessness_high,Contractualism — Default + cluelessness,high,met,0.1500,17.00,1.00,5.00,0.00,6.00,16.00,42.00,13.00
Contractualism — Default + cluelessness_high,Contractualism — Default + cluelessness,high,splitCycle,0.1500,8.50,63.50,6.50,0.00,0.00,15.50,6.00,0.00
Contractualism — Default + cluelessness_high,Contractualism — Default + cluelessness,high,borda,0.1500,17.00,48.00,7.00,0.00,0.00,16.00,12.00,0.00
Contractualism — Default + cluelessness_high,Contractualism — Default + cluelessness,high,lexicographicMaximin,0.1500,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
Kantianism — Low animals_low,Kantianism — Low animals,low,nashBargaining,0.0100,11.20,12.24,6.11,36.42,2.92,15.53,8.08,7.50
Kantianism — Low animals_low,Kantianism — Low animals,low,credenceWeighted,0.0100,11.20,12.24,6.11,36.42,2.92,15.53,8.08,7.50
Kantianism — Low animals_low,Kantianism — Low animals,low,mec,0.0100,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
Kantianism — Low animals_low,Kantianism — Low animals,low,met,0.0100,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
Kantianism — Low animals_low,Kantianism — Low animals,low,splitCycle,0.0100,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
Kantianism — Low animals_low,Kantianism — Low animals,low,borda,0.0100,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
Kantianism — Low animals_low,Kantianism — Low animals,low,lexicographicMaximin,0.0100,0.00,95.00,5.00,0.00,0.00,0.00,0.00,0.00
Kantianism — Low animals_high,Kantianism — Low animals,high,nashBargaining,0.2000,8.00,27.64,5.71,29.43,2.27,15.33,5.47,6.15
Kantianism — Low animals_high,Kantianism — Low animals,high,credenceWeighted,0.2000,8.00,27.64,5.71,29.43,2.27,15.33,5.47,6.15
Kantianism — Low animals_high,Kantianism — Low animals,high,mec,0.2000,17.00,0.00,4.00,0.00,15.00,16.00,29.00,19.00
Kantianism — Low animals_high,Kantianism — Low animals,high,met,0.2000,17.00,9.00,5.00,0.00,3.00,16.00,42.00,8.00
Kantianism — Low animals_high,Kantianism — Low animals,high,splitCycle,0.2000,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
Kantianism — Low animals_high,Kantianism — Low animals,high,borda,0.2000,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
Kantianism — Low animals_high,Kantianism — Low animals,high,lexicographicMaximin,0.2000,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
Kantianism — Low animals / downside critical_low,Kantianism — Low animals / downside critical,low,nashBargaining,0.0100,12.15,7.58,6.45,38.45,3.08,15.51,8.85,7.92
Kantianism — Low animals / downside critical_low,Kantianism — Low animals / downside critical,low,credenceWeighted,0.0100,12.15,7.58,6.45,38.45,3.08,15.51,8.85,7.92
Kantianism — Low animals / downside critical_low,Kantianism — Low animals / downside critical,low,mec,0.0100,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
Kantianism — Low animals / downside critical_low,Kantianism — Low animals / downside critical,low,met,0.0100,17.00,13.00,2.00,6.00,1.00,16.00,42.00,3.00
Kantianism — Low animals / downside critical_low,Kantianism — Low animals / downside critical,low,splitCycle,0.0100,17.00,16.10,5.60,0.00,1.60,16.00,41.10,2.60
Kantianism — Low animals / downside critical_low,Kantianism — Low animals / downside critical,low,borda,0.0100,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
Kantianism — Low animals / downside critical_low,Kantianism — Low animals / downside critical,low,lexicographicMaximin,0.0100,0.00,97.00,3.00,0.00,0.00,0.00,0.00,0.00
Kantianism — Low animals / downside critical_high,Kantianism — Low animals / downside critical,high,nashBargaining,0.2000,8.76,23.98,5.84,31.07,2.40,15.33,6.13,6.49
Kantianism — Low animals / downside critical_high,Kantianism — Low animals / downside critical,high,credenceWeighted,0.2000,8.76,23.98,5.84,31.07,2.40,15.33,6.13,6.49
Kantianism — Low animals / downside critical_high,Kantianism — Low animals / downside critical,high,mec,0.2000,17.00,0.00,3.00,0.00,15.00,16.00,30.00,19.00
Kantianism — Low animals / downside critical_high,Kantianism — Low animals / downside critical,high,met,0.2000,17.00,14.00,5.00,0.00,2.00,16.00,42.00,4.00
Kantianism — Low animals / downside critical_high,Kantianism — Low animals / downside critical,high,splitCycle,0.2000,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
Kantianism — Low animals / downside critical_high,Kantianism — Low animals / downside critical,high,borda,0.2000,17.00,19.50,6.00,0.00,0.00,16.00,41.50,0.00
Kantianism — Low animals / downside critical_high,Kantianism — Low animals / downside critical,high,lexicographicMaximin,0.2000,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
